ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Width_PlatformA,NScars_PlatformA,DamageDegree_PlatformA,ScarShape_PlatformA,ScarDistribution_PlatformA,ScarArrangement_PlatformA,MaxScarSize_PlatformA,AverageScarSize_PlatformA,ScarExtention_PlatformA,ScarFacialDistribution_PlatformA,ScarEdgeDelineation_PlatformA,Angle_PlatformA,Width_PlatformB,NScars_PlatformB,DamageDegree_PlatformB,ScarShape_PlatformB,ScarDistribution_PlatformB,ScarArrangement_PlatformB,MaxScarSize_PlatformB,AverageScarSize_PlatformB,ScarExtention_PlatformB,ScarFacialDistribution_PlatformB,ScarEdgeDelineation_PlatformB,Angle_PlatformB,Width_PlatformC,NScars_PlatformC,DamageDegree_PlatformC,ScarShape_PlatformC,ScarDistribution_PlatformC,ScarArrangement_PlatformC,MaxScarSize_PlatformC,AverageScarSize_PlatformC,ScarExtention_PlatformC,ScarFacialDistribution_PlatformC,ScarEdgeDelineation_PlatformC,Angle_PlatformC,Width_PlatformD,NScars_PlatformD,DamageDegree_PlatformD,ScarShape_PlatformD,ScarDistribution_PlatformD,ScarArrangement_PlatformD,MaxScarSize_PlatformD,AverageScarSize_PlatformD,ScarExtention_PlatformD,ScarFacialDistribution_PlatformD,ScarEdgeDelineation_PlatformD,Angle_PlatformD
Noid11,Z7,2,Solutrean,Chert,2,12.66,4,Medium,Semi_Circular,Lateral_Central,Overlapped,7.34,7.34,Invasive,Bifacial,Concave,>45,6.65,1,Low,Triangular,Central,Isolated,2.31,2.31,Marginal,Unifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid12,Z,27,Gravettian,Chert,2,11.78,1,Low,Irregular,Central,Isolated,6.18,6.17,Marginal,Unifacial,Concave,>45,10.52,2,Low,Semi_Circular,Central,Overlapped,7.11,7.11,Invasive,Bifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid13,ZZ7,12,Gravettian,Chert,2,17.17,4,Medium,Half_Moon,Total,Overlapped,15.56,7.16,Invasive,Bifacial,Pointed,>45,14.86,4,Medium,Half_Moon,Total,Isolated_Overlapped,5.65,5.65,Marginal,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid18,Z27,8,Gravettian,Chert,3,9.29,1,High,Irregular,Central,Isolated,5.25,5.25,Marginal,Unifacial,Pointed,>45,13.59,1,Medium,Triangular,Central,Isolated,6.29,6.29,Marginal,Unifacial,Oblique,>45,23.78,2,Low,Quadrangular,Central,Isolated,1.05,1.05,Marginal,Unifacial,Concave,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,H24,5,Solutrean,Chert,2,8.37,1,Medium,Half_Moon,Lateral_Central,Isolated,2.25,2.25,Marginal,Unifacial,Concave,>45,3.99,2,Medium,Mixed,Total,Aligned,9.78,6.52,Invasive,Unifacial,Oblique,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3171,H24,8,Solutrean,Chert,2,14.51,4,Medium,Quadrangular,Lateral_Central,Overlapped,5.92,5.9,Mixed_Invasive,Bifacial,Oblique,>45,12.93,4,Medium,Half_Moon,Lateral_Central,Overlapped,8.07,8.07,Mixed_Invasive,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid14,Z27,3,Solutrean,Chalcedony,2,14.93,2,High,Mixed,Total,Aligned,7.37,4.74,Mixed_Invasive,Unifacial,Concave,>45,11.74,1,Medium,Triangular,Central,Isolated,5.8,5.8,Invasive,Unifacial,Pointed,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid20,H23,16,Gravettian,Chert,2,14.04,7,High,Trapezoidal,Total,Overlapped,17.59,8.13,Invasive,Bifacial,Straight,>45,12.14,2,High,Trapezoidal,Central,Aligned,4.16,4.16,Marginal,Bifacial,Irregular,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid16,G25,9,Proto-Solutrean,Chert,2,17.37,1,Low,Half_Moon,Central,Isolated,4.97,4.97,Marginal,Unifacial,Straight,>45,11.49,1,Low,Irregular,Central,Isolated,3.25,3.25,Marginal,Unifacial,Irregular,Platform,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Noid21,G25,11,Gravettian,Chert,2,8.54,4,Medium,Quadrangular,Total,Aligned_Overlapped,5.48,5.48,Marginal,Bifacial,Straight,>45,9.44,5,Medium,Trapezoidal,Total,Overlapped,6.25,5.4,Marginal,Bifacial,Concave,<45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1211,ZZ5,4,Solutrean,Quartz,2,11.3,1,Medium,Irregular,Lateral_Central,Isolated,2.82,2.82,Marginal,Unifacial,Straight,Platform,12.4,3,Medium,Mixed,Central,Aligned,8.41,3.67,Mixed_Marginal,Bifacial,Straight,>45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
