ID,Square,Level,Chronology,RawMaterial,DamagedPlatforms,Blank,Retouch,AxisCoincident,TypologicalAxisLength,TechnologicalAxisLength,TypologicalAxisWidth,TechnologicalAxisWidth,Thickness,Cortex,ButtType,Profile,CrossSection,SideSection,BlankShape,DorsalScars,Fire
Noid11,Z7,2,Solutrean,Chert,2,Non_identifiable,No,NA,23.91,NA,11.06,NA,4.82,No_Cortex,Absent,Straight,Triangular,Trapezoidal,Irregular,Non_Identifiable,No_Traces
Noid12,Z,27,Gravettian,Chert,2,FlakeFragment,No,No,23.13,NA,13.9,13.9,3.68,<25%,Absent,Straight,Triangular,Trapezoidal,Parallel,Non_Identifiable,No_Traces
Noid13,ZZ7,12,Gravettian,Chert,2,FlakeFragment,No,No,22.85,NA,15.1,22.85,5.59,No_Cortex,Absent,Straight,Trapezoidal,Irregular,Parallel,Non_Identifiable,No_Traces
Noid18,Z27,8,Gravettian,Chert,3,FlakeFragment,No,No,25.86,NA,15.02,15.02,5.32,No_Cortex,Absent,Straight,Triangular,Other,Parallel,Non_Identifiable,No_Traces
2015,H24,5,Solutrean,Chert,2,FlakeFragment,No,No,22.12,NA,9.09,NA,5.86,No_Cortex,Absent,Straight,Trapezoidal,Semi_Circular,Parallel,Non_Identifiable,No_Traces
3171,H24,8,Solutrean,Chert,2,FlakeFragment,No,Yes,16.29,NA,15.26,NA,5.49,No_Cortex,Absent,Straight,Triangular,Triangular,Parallel,Non_Identifiable,No_Traces
Noid14,Z27,3,Solutrean,Chalcedony,2,FlakeFragment,No,No,22.37,NA,15.39,15.39,7.54,No_Cortex,Absent,Straight,Triangular,Irregular,Converging,Non_Identifiable,No_Traces
Noid20,H23,16,Gravettian,Chert,2,FlakeFragment,No,Yes,27.04,NA,15.07,NA,12.38,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Parallel,Non_Identifiable,No_Traces
Noid16,G25,9,Proto-Solutrean,Chalcedony,2,FlakeFragment,No,No,24.13,NA,18.45,NA,7.96,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Irregular,Non_Identifiable,No_Traces
Noid21,G25,11,Gravettian,Chert,2,Non_identifiable,No,NA,15.68,NA,10.4,NA,7.16,No_Cortex,Absent,Straight,Trapezoidal,Elliptical,Parallel,Non_Identifiable,No_Traces
1211,ZZ5,4,Solutrean,Quartz,2,FlakeFragment,No,No,16.87,NA,12.9,NA,7.95,No_Cortex,Absent,Straight,Trapezoidal,Trapezoidal,Parallel,Non_Identifiable,No_Traces
1314,H24,4,Solutrean,Quartz,2,CompleteFlake,No,No,37.57,36.13,26.12,NA,13.72,>95%,Absent,Straight,Trapezoidal,Triangular,Parallel,Non_Identifiable,No_Traces
2465,H24,6,Solutrean,Chert,2,CompleteFlake,No,No,24.45,NA,15.27,17.25,8.53,No_Cortex,Flat,Straight,Trapezoidal,Irregular,Irregular,Non_Identifiable,No_Traces
